customer_id,customer_code,organisation_name,country_code,country_name,region,subregion,industry,employee_count,segment,acquisition_channel,signup_date,trial_start_date,status
1,cus_000001,Lumen Partners SAS,FR,France,Europe,Western Europe,professional_services,12,SMB,inbound,2025-07-01,,active
2,cus_000002,Silver Clinics AG,DE,Germany,Europe,DACH,financial_services,28,SMB,self_serve,2024-08-15,2024-07-25,churned
3,cus_000003,Beacon Group Pty Ltd,AU,Australia,APAC,Australia,healthcare,21,SMB,self_serve,2023-01-03,,churned
4,cus_000004,Lumen Studios Ltd,CA,Canada,North America,Canada,healthcare,122,Mid-Market,self_serve,2024-03-24,2024-03-10,active
5,cus_000005,Coastal Properties Inc,CA,Canada,North America,Canada,,23,SMB,self_serve,2026-05-27,2026-05-13,active
6,cus_000006,Blue Solutions GmbH,DE,Germany,Europe,DACH,manufacturing,48,SMB,self_serve,2023-11-01,2023-10-11,active
7,cus_000007,Forge Engineering Corp,US,United States,North America,West,professional_services,21,SMB,self_serve,2025-11-25,2025-11-11,active
8,cus_000008,North Properties LLP,GB,United Kingdom,Europe,United Kingdom,manufacturing,22,SMB,self_serve,2024-09-25,,active
9,cus_000009,Pioneer Retail AB,SE,Sweden,Europe,Nordics,logistics,50,Mid-Market,inbound,2025-06-16,,active
10,cus_000010,Atlas Properties Corp,US,United States,North America,West,construction,15,SMB,partner,2026-02-08,,churned
11,cus_000011,Pacific Studios Pty Ltd,AU,Australia,APAC,Australia,logistics,56,Mid-Market,outbound,2026-05-03,,active
12,cus_000012,Metro Works Pty Ltd,AU,Australia,APAC,Australia,logistics,7179,Enterprise,outbound,2026-06-02,,active
13,cus_000013,Atlas Solutions SAS,FR,France,Europe,Western Europe,professional_services,675,Enterprise,outbound,2023-08-10,,active
14,cus_000014,Maple Workshops Corp,US,United States,North America,South,professional_services,864,Enterprise,partner,2026-05-01,,active
15,cus_000015,River Properties Inc,US,United States,North America,Northeast,retail,138,Mid-Market,self_serve,2026-01-12,2025-12-29,active
16,cus_000016,Forge Solutions Corp,US,United States,North America,South,healthcare,150,Mid-Market,inbound,2025-08-31,,active
17,cus_000017,Bright Ventures Corp,US,United States,North America,Northeast,facilities,1008,Enterprise,inbound,2023-09-19,,active
18,cus_000018,Oak Networks Inc,CA,Canada,North America,Canada,facilities,75,Mid-Market,self_serve,2026-06-29,,active
19,cus_000019,Urban Systems LLC,US,United States,North America,South,retail,133,Mid-Market,partner,2025-07-23,,active
20,cus_000020,Nimbus Solutions Pty Ltd,AU,Australia,APAC,Australia,facilities,32,SMB,self_serve,2026-06-03,,active
21,cus_000021,Iron Group GmbH,DE,Germany,Europe,DACH,healthcare,10,SMB,self_serve,2026-02-14,,active
22,cus_000022,Granite Ventures AB,SE,Sweden,Europe,Nordics,professional_services,49,SMB,inbound,2023-04-24,,churned
23,cus_000023,Beacon Properties Inc,CA,Canada,North America,Canada,manufacturing,15,SMB,self_serve,2022-12-01,2022-11-24,churned
